GROUP,DAY0,DAY3,DAY5,DAY7,DAY10,DAY12,DAY14,DAY17,DAY19,DAY21,DAY24,DAY26,DAY28,DAY31,DAY33,DAY35,DAY38,DAY40,DAY42,DAY45,DAY47,DAY49,DAY52,DAY54,DAY56,DAY59,DAY61,DAY63,DAY66,DAY68,DAY70,DAY73,DAY75,DAY77,DAY80,DAY82,DAY84,DAY87,DAY89,DAY91,DAY94,DAY96,DAY98,DAY101
OMFA,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,27,25,24,20,17,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMFB,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,28,25,23,20,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMFC,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,28,26,22,19,17,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMMA,30,30,30,30,30,30,30,30,30,29,28,28,26,25,25,23,19,16,11,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMMB,30,30,30,30,29,29,29,29,28,28,26,25,25,21,21,19,14,12,8,8,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMMC,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,24,18,17,8,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVFA,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,27,27,27,25,22,20,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVFB,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,26,25,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVFC,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,28,26,26,26,25,23,19,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVMA,30,30,28,28,28,27,27,27,27,27,26,26,25,24,24,20,18,17,7,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
