Label,Area,Remove
C06-F01,2933548.699,FALSE
C06-F02,3010978.2,FALSE
C06-F03,2709144.075,FALSE
C06-F04,2779166.27,FALSE
C06-F05,2772766.575,FALSE
C06-F06,3101479.419,FALSE
C06-F07,2742701.624,FALSE
C06-F08,2774451.601,FALSE
C06-F09,2965128.47,FALSE
C06-F10,2993253.088,FALSE
C06-F11,2729469.915,FALSE
C06-F12,2796442.042,FALSE
C06-F13,3024771.585,FALSE
C06-F14,2920538.255,FALSE
C06-F15,2920831.007,FALSE
C06-F16,2845712.885,FALSE
C06-F17,3018177.857,FALSE
C06-F18,3056395.61,FALSE
C06-F19,3059537.588,FALSE
C06-F20,2796418.213,FALSE
C06-F21,2949486.663,FALSE
C06-F22,2992170.586,FALSE
C06-F23,2981161.749,FALSE
C06-F24,2783649.46,FALSE
C06-F25,2949105.404,FALSE
C06-F26,3203054.152,FALSE
C06-F28,3217797.279,FALSE
C06-F29,3125832.301,FALSE
C06-F30,2996309.963,FALSE
C06-F31,3104151.632,FALSE
C06-F32,3001385.466,FALSE
C06-F34,3085238.491,FALSE
C06-F35,3105424.763,FALSE
C06-F36,3111310.44,FALSE
C06-F37,2624848.518,FALSE
C06-F38,3115497.474,FALSE
C06-F39,3172029.248,FALSE
C06-F40,3089939.543,FALSE
C06-F41,2951294.236,FALSE
C06-F42,3003094.321,FALSE
C06-F44,3011795.183,FALSE
C06-F45,2999254.504,FALSE
C06-F46,3003547.065,FALSE
C06-F47,2968641.495,FALSE
C06-F48,3023981.836,FALSE
C06-F49,2988514.59,FALSE
C06-F50,2863591.182,FALSE
C06-F51,2823256.083,FALSE
C06-F52,2885724.595,FALSE
C06-F53,2908869.024,FALSE
C06-F54,3152414.864,FALSE
C06-F55,3002399.886,FALSE
C06-F56,2915918.901,FALSE
C06-F57,3053675.74,FALSE
C06-F58,3087294.563,FALSE
C06-F59,3122087.798,FALSE
C06-F60,3053454.474,FALSE
C06-F61,2962503.915,FALSE
C06-F62,3023433.777,FALSE
C06-F63,3017878.297,FALSE
C06-F64,3096805.599,FALSE
C06-M01,2542156.289,FALSE
C06-M02,2515846.053,FALSE
C06-M03,2514634.196,FALSE
C06-M04,2667399.681,FALSE
C06-M05,2468597.241,FALSE
C06-M06,2516411.133,FALSE
C06-M07,2672733.895,FALSE
C06-M08,2705205.539,FALSE
C06-M09,2555245.027,FALSE
C06-M10,2499227.271,FALSE
C06-M11,2789824.485,FALSE
C06-M12,2695146.444,FALSE
C06-M13,2531933.797,FALSE
C06-M14,2472096.649,FALSE
C06-M15,2567217.222,FALSE
C06-M16,2562369.793,FALSE
C06-M17,2892696.178,FALSE
C06-M18,2674915.919,FALSE
C06-M19,2682629.594,FALSE
C06-M20,2593646.601,FALSE
C06-M21,2819412.862,FALSE
C06-M22,2493167.985,FALSE
C06-M23,2783989.869,FALSE
C06-M24,2698084.176,FALSE
C06-M25,2533400.961,FALSE
C06-M26,2718335.126,FALSE
C06-M27,2572323.362,FALSE
C06-M28,2578181.806,FALSE
C06-M29,2652867.608,FALSE
C06-M30,2587209.461,FALSE
C06-M31,2480943.887,FALSE
C06-M32,2712623.058,FALSE
C06-M33,2768409.335,FALSE
C06-M34,2613625.223,FALSE
C06-M35,2534357.511,FALSE
C06-M36,2825390.449,FALSE
C06-M37,2623966.858,FALSE
C06-M38,2571550.632,FALSE
C06-M39,2625587.206,FALSE
C06-M40,2584023.23,FALSE
C06-M41,2713263.027,FALSE
C06-M42,2667923.912,FALSE
C06-M43,2675031.658,FALSE
C06-M44,2610830.463,FALSE
C06-M45,2707162.893,FALSE
C06-M47,2677969.39,FALSE
C06-M49,2690935.581,FALSE
C06-M50,2651713.62,FALSE
C06-M51,2714430.631,FALSE
C06-M52,2505810.787,FALSE
C06-M53,2642982.122,FALSE
C06-M54,2614435.397,FALSE
C06-M55,2642999.142,FALSE
C06-M56,2788010.103,FALSE
C06-M57,2673108.345,FALSE
C06-M58,2495642.761,FALSE
C06-M59,2604703.095,FALSE
C10-FA01,2653528.002,FALSE
C10-FA02,2885394.398,FALSE
C10-FA03,2755531.651,FALSE
C10-FA04,2846424.341,FALSE
C10-FA05,2254980.188,FALSE
C10-FA06,2751640.773,FALSE
C10-FA07,2725653.926,FALSE
C10-FA08,2879678.926,FALSE
C10-FA09,2925763.538,FALSE
C10-FA10,2750367.642,FALSE
C10-FA11,2720786.073,FALSE
C10-FA12,2698754.783,FALSE
C10-FA13,2779241.16,FALSE
C10-FA14,2855465.612,FALSE
C10-FA15,2652452.309,FALSE
C10-FA16,2855686.878,FALSE
C10-FA17,2862859.302,FALSE
C10-FA18,2813608.883,FALSE
C10-FA19,2840324.206,FALSE
C10-FA20,2399660.952,FALSE
C10-FA21,2914975.967,FALSE
C10-FA22,2889057.202,FALSE
C10-FA23,2934147.819,FALSE
C10-FA24,2684454.188,FALSE
C10-FA25,2925661.415,FALSE
C10-FA26,2657149.957,FALSE
C10-FA27,2798797.674,FALSE
C10-F-A28,2737513.787,FALSE
C10-F-A29,2860483.245,FALSE
C10-F-A29A,2859587.969,FALSE
C10-F-A30,2782549.938,FALSE
C10-F-A31,2887630.887,FALSE
C10-F-A32,2914288.34,FALSE
C10-F-A33,2834812.979,FALSE
C10-F-A34,2906659.768,FALSE
C10-F-A35,2980828.148,FALSE
C10-F-A36,2947930.992,FALSE
C10-F-A37,2780405.359,FALSE
C10-F-A38,2753986.193,FALSE
C10-F-A39,2918141.774,FALSE
C10-F-A40,2990594.491,FALSE
C10-F-A41,2964434.035,FALSE
C10-F-A42,2772572.541,FALSE
C10-F-A43,2946109.802,FALSE
C10-F-A44,2690506.665,FALSE
C10-F-A449,3018971.011,FALSE
C10-F-A45,2883586.825,FALSE
C10-F-A46,2583836.004,FALSE
C10-F-A47,2647407.443,FALSE
C10-F-A48,2855785.597,FALSE
C10-F-A49,2952744.38,FALSE
C10-F-A50,2797847.932,FALSE
C10-M01,2258527.253,FALSE
C10-M02,2575986.166,FALSE
C10-M03,2532866.519,FALSE
C10-M04,2350529.677,FALSE
C10-M05,2307461.091,FALSE
C10-M06,2453173.296,FALSE
C10-M07,2227090.454,FALSE
C10-M08,2278883.73,FALSE
C10-M09,2606418.758,FALSE
C10-M10,2231604.281,FALSE
C10-M11,2175954.167,FALSE
C10-M12,2328590.297,FALSE
C10-M13,2511815.607,FALSE
C10-M14,2540624.447,FALSE
C10-M15,2496367.833,FALSE
C10-M16,2305823.722,FALSE
C10-M17,2430869.678,FALSE
C10-M18,2472355.36,FALSE
C10-M19,2544402.99,FALSE
C10-M20,2500449.34,FALSE
C10-M21,2412102.913,FALSE
C10-M22,2356748.955,FALSE
C10-M23,2315457.306,FALSE
C10-M24,2584009.613,FALSE
C10-M25,2052872.374,FALSE
C10-M26,2270329.244,FALSE
C10-M27,2409451.124,FALSE
C10-M28,2294879.563,FALSE
C10-M29,2117362.917,FALSE
C10-M30,2413372.639,FALSE
C10-M31,2383403.004,FALSE
C10-M32,2362883.131,FALSE
C10-M33,2595168.23,FALSE
C10-M34,2502359.037,FALSE
C10-M35,2091287.564,FALSE
C10-M36,2130114.65,FALSE
C10-M37,2602813.823,FALSE
C10-M38,2416895.876,FALSE
C10-M39,2399848.177,FALSE
C10-M40,2205341.703,FALSE
C10-M41,2182357.266,FALSE
C10-M42,1988872.02,FALSE
C10-M43,2434780.981,FALSE
C10-M44,2712282.649,FALSE
C10-M45,2487871.216,FALSE
C10-M46,2993341.594,FALSE
C10-M47,2784088.588,FALSE
C10-M48,2336637.573,FALSE
C10-M49,2007621.764,FALSE
C10-M50,2367243.774,FALSE
C10-M51,2180505.44,FALSE
C10-M52,2327412.481,FALSE
C10-M53,2155444.506,FALSE
C10-M54,2297834.316,FALSE
C10-M55,2308043.191,FALSE
C10-M56,2374259.61,FALSE
C35-F01,2796636.075,FALSE
C35-F01,2819879.223,FALSE
C35-F02,2370392.56,FALSE
C35-F02,2974663.335,FALSE
C35-F03,2816390.027,FALSE
C35-F03,2787700.331,FALSE
C35-F04,2862552.934,FALSE
C35-F04,3102262.36,FALSE
C35-F05,2242916.082,FALSE
C35-F05,2830578.287,FALSE
C35-F06,2714811.89,FALSE
C35-F07,2992262.496,FALSE
C35-F08,2991551.041,FALSE
C35-F09,2277549.325,FALSE
C35-F09,2718580.221,FALSE
C35-F10,2914053.458,FALSE
C35-F11,2809833.744,FALSE
C35-F11,2527423.374,FALSE
C35-F12,2219485.71,FALSE
C35-F12,2923067.496,FALSE
C35-F13,2411023.815,FALSE
C35-F14,2466214.376,FALSE
C35-F14,2764889.503,FALSE
C35-F15,2501028.036,FALSE
C35-F15,2964583.816,FALSE
C35-F16,2773947.795,FALSE
C35-F16,2931472.202,FALSE
C35-F17,2389646.11,FALSE
C35-F17,2837733.691,FALSE
C35-F18,2835558.476,FALSE
C35-F18,2971286.475,FALSE
C35-F19,2923996.814,FALSE
C35-F20,2386078.621,FALSE
C35-F20,2822558.244,FALSE
C35-F21,2811368.99,FALSE
C35-F21,2821451.914,FALSE
C35-F22,2301394.997,FALSE
C35-F22,2970775.861,FALSE
C35-F23,2373973.666,FALSE
C35-F24,2116188.505,FALSE
C35-F25,2347431.952,FALSE
C35-F26,2869282.826,FALSE
C35-F27,2485229.64,FALSE
C35-FB01,2944986.452,FALSE
C35-FB02,2349059.109,FALSE
C35-FB03,2445820.455,FALSE
C35-M01,2222178.347,FALSE
C35-M02,2363472.039,FALSE
C35-M02,2559632.903,FALSE
C35-M03,2235661.96,FALSE
C35-M03,2574359.009,FALSE
C35-M04,2274996.255,FALSE
C35-M04,2493712.64,FALSE
C35-M05,2289358.124,FALSE
C35-M05,2597564.712,FALSE
C35-M06,2322939.502,FALSE
C35-M06,2381585.218,FALSE
C35-M07,2116140.848,FALSE
C35-M07,2443675.876,FALSE
C35-M08,2612621.016,FALSE
C35-M08,2473424.245,FALSE
C35-M09,2321901.254,FALSE
C35-M09,2440462.412,FALSE
C35-M10,2126404.188,FALSE
C35-M11,2579992.783,FALSE
C35-M11,2570679.185,FALSE
C35-M12,2264300.595,FALSE
C35-M12,2496929.508,FALSE
C35-M13,2058135.102,FALSE
C35-M13,2308666.14,FALSE
C35-M14,2119960.24,FALSE
C35-M14,2398343.568,FALSE
C35-M15,2173520.241,FALSE
C35-M15,2551119.266,FALSE
C35-M16,2173377.269,FALSE
C35-M16,2338581.31,FALSE
C35-M17,2240618.319,FALSE
C35-M17,2448472.243,FALSE
C35-M18,2328035.43,FALSE
C35-M18,2491694.013,FALSE
C35-M19,2114312.85,FALSE
C35-M19,2525922.169,FALSE
C35-M20,2432524.067,FALSE
C35-M20,2558553.805,FALSE
C35-M21,2170582.508,FALSE
C35-M21,2393097.861,FALSE
C35-M22,2143482.523,FALSE
C35-M22,2447604.199,FALSE
C35-M23,2102248.744,FALSE
C35-M23,2426903.909,FALSE
C35-M24,2173996.814,FALSE
C35-M24,2421059.081,FALSE
C35-M25,2571911.466,FALSE
C35-M25,2436476.219,FALSE
C35-M26,2194438.393,FALSE
C35-M26,2551909.015,FALSE
C35-M27,2066127.912,FALSE
C35-M28,2505385.275,FALSE
C35-M29,2343602.347,FALSE
C35-M30,2103276.78,FALSE
C35-M31,2097431.952,FALSE
C35-M32,2000500.402,FALSE
C35-MB01,2101574.733,FALSE
C35-MB02,2410036.628,FALSE
C35-MB03,2465268.038,FALSE
C35-MB04,2373810.269,FALSE
C36-F01,2869507.496,FALSE
C36-F01,2890830.735,FALSE
C36-F02,2988419.275,FALSE
C36-F02,2897032.992,FALSE
C36-F03,2934801.405,FALSE
C36-F03,2712483.49,FALSE
C36-F04,2788054.357,FALSE
C36-F04,2662140.358,FALSE
C36-F05,2593336.828,FALSE
C36-F05,2819412.862,FALSE
C36-F06,3005490.802,FALSE
C36-F06,2822885.037,FALSE
C36-F07,2831197.832,FALSE
C36-F07,2771677.265,FALSE
C36-F08,2913079.887,FALSE
C36-F09,2836831.606,FALSE
C36-F09,2814933.076,FALSE
C36-F10,2918104.329,FALSE
C36-F10,2841175.229,FALSE
C36-F11,2723243.828,FALSE
C36-F12,2837682.63,FALSE
C36-F13,2900985.145,FALSE
C36-F14,2844232.105,FALSE
C36-F15,2834540.652,FALSE
C36-F16,2720316.308,FALSE
C36-F17,2670585.913,FALSE
C36-F18,3009320.407,FALSE
C36-F19,2939887.12,FALSE
C36-F20,2882950.259,FALSE
C36-F21,3031715.935,FALSE
C36-F22,2716874.77,FALSE
C36-F23,2890759.249,FALSE
C36-F24,2901288.109,FALSE
C36-F25,2997259.705,FALSE
C36-F26,3160421.291,FALSE
C36-F27,2926304.789,FALSE
C36-F28,2845903.514,FALSE
C36-F29,2966241.609,FALSE
C36-F30,3005490.802,FALSE
C36-F31,2901070.247,FALSE
C36-F32,2645211.803,FALSE
C36-F33,2788980.27,FALSE
C36-F34,2962330.306,FALSE
C36-F35,2597700.876,FALSE
C36-F36,2957751.801,FALSE
C36-F37,2866995.275,FALSE
C36-F38,2831289.743,FALSE
C36-F39,2869830.885,FALSE
C36-F40,2814088.86,FALSE
C36-F41,2848456.584,FALSE
C36-F42,2921484.593,FALSE
C36-F43,3053754.034,FALSE
C36-F44,2949384.54,FALSE
C36-F45,2864472.842,FALSE
C36-F46,2865953.623,FALSE
C36-F47,2737571.656,FALSE
C36-F48,2936384.308,FALSE
C36-F49,3043562.179,FALSE
C36-F50,2995618.932,FALSE
C36-F51,3078212.443,FALSE
C36-F52,2849025.068,FALSE
C36-F53,2849086.341,FALSE
C36-F54,2939502.458,FALSE
C36-F55,2840930.134,FALSE
C36-M01,2512384.091,FALSE
C36-M01,2530524.503,FALSE
C36-M02,2580646.369,FALSE
C36-M02,2399592.87,FALSE
C36-M03,2531787.421,FALSE
C36-M03,2430825.424,FALSE
C36-M04,2526994.458,FALSE
C36-M04,2369432.606,FALSE
C36-M05,2559588.649,FALSE
C36-M05,2479779.687,FALSE
C36-M06,2480586.457,FALSE
C36-M06,2359982.843,FALSE
C36-M07,2603688.675,FALSE
C36-M07,2525959.614,FALSE
C36-M08,2554564.208,FALSE
C36-M08,2460972.073,FALSE
C36-M09,2473386.8,FALSE
C36-M09,2464648.493,FALSE
C36-M10,2663845.808,FALSE
C36-M10,2441504.064,FALSE
C36-M11,2443189.091,FALSE
C36-M11,2512295.584,FALSE
C36-M12,2407864.817,FALSE
C36-M12,2421654.798,FALSE
C36-M13,2516451.982,FALSE
C36-M13,2612672.077,FALSE
C36-M14,2622615.433,FALSE
C36-M15,2447757.383,FALSE
C36-M16,2433878.896,FALSE
C36-M17,2560844.76,FALSE
C36-M18,2611232.146,FALSE
C36-M19,2598820.822,FALSE
C36-M20,2625961.656,FALSE
C36-M21,2615745.973,FALSE
C36-M22,2457326.289,FALSE
C36-M23,2807158.127,FALSE
C36-M24,2484524.993,FALSE
C36-M25,2566897.237,FALSE
C36-M26,2488432.892,FALSE
C36-M27,2471436.255,FALSE
C36-M28,2608944.595,FALSE
C36-M29,2597108.563,FALSE
C36-M30,2551704.77,FALSE
C36-M31,2514848.654,FALSE
C36-M32,2493831.783,FALSE
C36-M33,2513681.05,FALSE
C36-M34,2430110.565,FALSE
C36-M35,2506774.145,FALSE
C36-M36,2522211.707,FALSE
C36-M37,2494767.909,FALSE
C36-M38,2499029.833,FALSE
C36-M39,2431720.701,FALSE
C36-M40,2471708.582,FALSE
C36-M41,2610684.087,FALSE
C36-M42,2534599.202,FALSE
C36-M43,2421287.156,FALSE
C36-M44,2563826.745,FALSE
C36-M45,2591100.339,FALSE
C36-M46,2564456.502,FALSE
C36-M47,2996844.406,FALSE
C38-F01,2768841.655,FALSE
C38-F02,2955678.708,FALSE
C38-F02,2954143.462,FALSE
C38-F03,2785691.916,FALSE
C38-F03,3046870.958,FALSE
C38-F04,3079482.169,FALSE
C38-F04,3004425.321,FALSE
C38-F05,2951964.843,FALSE
C38-F05,2828624.338,FALSE
C38-F06,2766036.683,FALSE
C38-F06,2830472.76,FALSE
C38-F07,2747256.301,FALSE
C38-F07,2958636.865,FALSE
C38-F08,2909556.651,FALSE
C38-F08,2924895.494,FALSE
C38-F09,2891501.341,FALSE
C38-F09,3015699.677,FALSE
C38-F10,3032852.902,FALSE
C38-F10,2959845.318,FALSE
C38-F11,2923615.555,FALSE
C38-F11,3092928.337,FALSE
C38-F12,2610588.772,FALSE
C38-F12,2909301.344,FALSE
C38-F13,2814262.469,FALSE
C38-F13,3078100.108,FALSE
C38-F14,2694217.127,FALSE
C38-F15,2710706.554,FALSE
C38-F16,2720690.759,FALSE
C38-F16,3018661.238,FALSE
C38-F17,2915558.067,FALSE
C38-F17,2837029.044,FALSE
C38-F18,2848020.86,FALSE
C38-F18,3025217.522,FALSE
C38-F19,2669234.488,FALSE
C38-F19,2994066.666,FALSE
C38-F20,2629934.233,FALSE
C38-F20,2774369.902,FALSE
C38-F21,2736839.776,FALSE
C38-F21,2988916.273,FALSE
C38-F22,2742412.277,FALSE
C38-F22,2934423.551,FALSE
C38-M37A,2433752.945,FALSE
C38-F24,2418815.784,FALSE
C38-F25,2697801.637,FALSE
C38-F25,2921790.961,FALSE
C38-F26,2789787.04,FALSE
C38-F26,2913811.767,FALSE
C38-F27,2815824.948,FALSE
C38-F28,2910622.132,FALSE
C38-F28,3023845.672,FALSE
C38-F29,3162555.657,FALSE
C38-F29,3033656.268,FALSE
C38-F30,2872846.911,FALSE
C38-F30,2811164.744,FALSE
C38-F31,2981958.307,FALSE
C38-F33,2872908.185,FALSE
C38-M38A,2328474.558,FALSE
C38-F34,2976024.972,FALSE
C38-F34,2824604.104,FALSE
C38-F35,2769216.105,FALSE
C38-F35,2855332.852,FALSE
C38-F36,2636527.961,FALSE
C38-F36,2897220.218,FALSE
C38-F37,2831640.364,FALSE
C38-F38,2782774.608,FALSE
C38-F39,2807423.646,FALSE
C38-F40,2485345.379,FALSE
C38-F41,2365701.72,FALSE
C38-F42,2587141.379,FALSE
C38-F43,2547333.914,FALSE
C38-F44,2459355.129,FALSE
C38-F-A01,3097050.694,FALSE
C38-F-A02,3046074.4,FALSE
C38-F-A03,3031140.644,FALSE
C38-F-A04,3079839.599,FALSE
C38-F-A05,2948421.182,FALSE
C38-F-A06,3043800.466,FALSE
C38-F-A07,3096516.251,FALSE
C38-F-A08,2945636.633,FALSE
C38-F-A09,2921702.455,FALSE
C38-F-A11,2990928.092,FALSE
C38-F-A12,2967276.453,FALSE
C38-F-A12A,2963508.122,FALSE
C38-F-A13,3186306.014,FALSE
C38-F-A14,2966990.509,FALSE
C38-F-A15,3014811.209,FALSE
C38-F-A16,2899889.027,FALSE
C38-M01,2483837.366,FALSE
C38-M01,2483027.192,FALSE
C38-M01,2557811.713,FALSE
C38-M01,2543293.256,FALSE
C38-M02,2522242.344,FALSE
C38-M02,2516074.128,FALSE
C38-M02,2588935.336,FALSE
C38-M02,2616317.861,FALSE
C38-M03,2573885.84,FALSE
C38-M03,2588138.778,FALSE
C38-M03,2736465.326,FALSE
C38-M03,2532127.831,FALSE
C38-M04,2598551.899,FALSE
C38-M04,2562516.169,FALSE
C38-M04,2645167.549,FALSE
C38-M05,2607759.971,FALSE
C38-M05,2579911.085,FALSE
C38-M05,2680627.987,FALSE
C38-M05,2595750.33,FALSE
C38-M06,2365214.934,FALSE
C38-M06,2567925.273,FALSE
C38-M06,2626989.692,FALSE
C38-M06,2620399.368,FALSE
C38-M07,2451038.929,FALSE
C38-M07,2370916.79,FALSE
C38-M07,2428503.833,FALSE
C38-M07,2642056.208,FALSE
C38-M08,2465169.32,FALSE
C38-M08,2531280.211,FALSE
C38-M08,2791220.163,FALSE
C38-M09,2466422.026,FALSE
C38-M09,2564916.055,FALSE
C38-M09,2565607.086,FALSE
C38-M09,2632184.338,FALSE
C38-M10,2349321.224,FALSE
C38-M10,2403619.913,FALSE
C38-M10,2505341.022,FALSE
C38-M10,2532975.45,FALSE
C38-M11,2394224.616,FALSE
C38-M11,2432061.11,FALSE
C38-M11,2516993.233,FALSE
C38-M11,2515716.698,FALSE
C38-M12,2369752.591,FALSE
C38-M12,2278921.175,FALSE
C38-M12,2475609.673,FALSE
C38-M12,2546775.643,FALSE
C38-M13,2531368.718,FALSE
C38-M13,2587686.034,FALSE
C38-M13,2621410.384,FALSE
C38-M13,2466078.212,FALSE
C38-M14,2372390.763,FALSE
C38-M14,2367025.912,FALSE
C38-M14,2527402.949,FALSE
C38-M14,2561886.412,FALSE
C38-M15,2295962.065,FALSE
C38-M15,2416293.351,FALSE
C38-M15,2333158.59,FALSE
C38-M15,2487146.145,FALSE
C38-M16,2459058.973,FALSE
C38-M16,2191585.763,FALSE
C38-M16,2521769.175,FALSE
C38-M17,2320451.11,FALSE
C38-M17,2541819.284,FALSE
C38-M18,2580959.546,FALSE
C38-M18,2387784.072,FALSE
C38-M18,2574563.255,FALSE
C38-M19,2536920.794,FALSE
C38-M19,2431645.811,FALSE
C38-M19,2397039.801,FALSE
C38-M19,2538136.055,FALSE
C38-M20,2391811.114,FALSE
C38-M20,2491384.24,FALSE
C38-M20,2335507.414,FALSE
C38-M21,2390510.75,FALSE
C38-M21,2692770.387,FALSE
C38-M21,2679126.782,FALSE
C38-M21,2525503.465,FALSE
C38-M22,2313431.87,FALSE
C38-M22,2347823.423,FALSE
C38-M22,2701947.822,FALSE
C38-M22,2567125.311,FALSE
C38-M23,2318905.652,FALSE
C38-M23,2478955.897,FALSE
C38-M23,2444080.963,FALSE
C38-M23,2528022.494,FALSE
C38-M24,2238225.242,FALSE
C38-M24,2587679.226,FALSE
C38-M24,2555401.615,FALSE
C38-M25,2962170.314,FALSE
C38-M25,2419779.142,FALSE
C38-M25,2444771.994,FALSE
C38-M26,2246395.065,FALSE
C38-M26,2357535.3,FALSE
C38-M26,2481577.048,FALSE
C38-M27,2488545.227,FALSE
C38-M28,2596451.573,FALSE
C38-M29,2638897.21,FALSE
C38-M30,2586079.302,FALSE
C38-M31,2622029.929,FALSE
C38-M32,2655053.036,FALSE
C38-M33,2629764.028,FALSE
C38-M34,2541029.534,FALSE
C38-M35,2479609.482,FALSE
C38-M36,2574430.495,FALSE
C38-M-A01,2414366.634,FALSE
C38-M-A02,2504680.628,FALSE
C38-M-A03,3029612.206,FALSE
C38-M-A04,2637852.153,FALSE
C38-M-A05,2514739.723,FALSE
C38-M-A06,2528192.699,FALSE
C38-M-A07,2865473.646,FALSE
C38-M-A08,3035497.883,FALSE
C38-M-A09,2628821.094,FALSE
C38-M-A10,2594933.348,FALSE
C38-M-A11,2987135.932,FALSE
C38-M-A12,2435104.369,FALSE
C38-M-A13,2425269.945,FALSE
C38-M-A14,3030677.687,FALSE
C38-M-A15,2421406.299,FALSE
C38-M-A16,2574856.007,FALSE
C38-M-A17,2822949.715,FALSE
C38-M-A18,2490403.862,FALSE
C38-M-A19,2543820.89,FALSE
H08-F01,2916872.047,FALSE
H08-F01,2918029.439,FALSE
H08-F02,2946130.227,FALSE
H08-F02,2819239.253,FALSE
H08-F03,2957956.046,FALSE
H08-F03,3040900.178,FALSE
H08-F04,2912024.618,FALSE
H08-F04,2917287.346,FALSE
H08-F05,2712115.848,FALSE
H08-F05,3087662.205,FALSE
H08-F06,2839211.067,FALSE
H08-F06,2985702.809,FALSE
H08-F07,3122921.801,FALSE
H08-F07,3188593.565,FALSE
H08-F08,2853593.361,FALSE
H08-F08,2945194.101,FALSE
H08-F09,2821499.571,FALSE
H08-F09,2741935.703,FALSE
H08-F11,3170987.595,FALSE
H08-F12,3273069.539,FALSE
H08-F13,2917593.715,FALSE
H08-F14,2937061.723,FALSE
H08-F15,3024734.14,FALSE
H08-F16,3059949.483,FALSE
H08-F17,3079128.144,FALSE
H08-F18,3208990.891,FALSE
H08-F19,3200014.297,FALSE
H08-F20,3126005.91,FALSE
H08-F21,3127459.457,FALSE
H08-F22,2437429.365,FALSE
H08-F23,3025129.015,FALSE
H08-F24,3066992.552,FALSE
H08-F25,2550870.767,FALSE
H08-F26,2993804.551,FALSE
H08-F27,3241537.425,FALSE
H08-F28,3059915.442,FALSE
H08-F29,2997834.997,FALSE
H08-F30,2952659.278,FALSE
H08-F31,3057096.853,FALSE
H08-F32,3110067.946,FALSE
H08-F33,3110316.444,FALSE
H08-F34,2746289.539,FALSE
H08-F36,3140252.039,FALSE
H08-F38,3176648.602,FALSE
H08-F39,2945316.649,FALSE
H08-F40,3258445.555,FALSE
H08-F41,2996112.526,FALSE
H08-F42,3084009.613,FALSE
H08-F43,2961574.597,FALSE
H08-F44,3087965.169,FALSE
H08-F45,3083846.217,FALSE
H08-F46,3219615.065,FALSE
H08-F47,3054788.878,FALSE
H08-F48,2969758.037,FALSE
H08-F49,2982748.056,FALSE
H08-F50,3166552.062,FALSE
H08-M01,2305902.017,FALSE
H08-M01,2432040.686,FALSE
H08-M02,2501807.573,FALSE
H08-M02,2489944.309,FALSE
H08-M03,2466010.131,FALSE
H08-M03,2468825.316,FALSE
H08-M04,2550761.836,FALSE
H08-M04,2835660.598,FALSE
H08-M05,2335582.304,FALSE
H08-M05,2924146.594,FALSE
H08-M06,2467599.842,FALSE
H08-M06,2565086.26,FALSE
H08-M07,2429845.046,FALSE
H08-M07,2554530.167,FALSE
