id,pupated,eclosed,PupatedYN,EclosedYN,sex
L30-D0-1548,1,1,Y,Y,Male
L30-D0-1666,1,1,Y,Y,Male
L30-D0-1644,1,1,Y,Y,Male
L30-D0-1642,1,1,Y,Y,Male
L30-D0-2059,1,1,Y,Y,Female
L30-D0-1889,1,1,Y,Y,Female
L30-D0-1900,1,1,Y,Y,Female
L30-D1-1161,1,1,Y,Y,Female
L30-D1-1150,1,1,Y,Y,Female
L30-D1-1176,1,1,Y,Y,Female
L30-D1-0949,1,1,Y,Y,Female
L30-D1-1582,1,1,Y,Y,Male
L30-D1-1270,1,1,Y,Y,Male
L30-D1-1510,1,1,Y,Y,Female
L30-D1-0417,0,0,N,N,Unknown
L30-D1-1414,1,1,Y,Y,Female
L30-D1-1322,1,1,Y,Y,Male
L30-D1-0877,1,1,Y,Y,Male
L30-D1-1356,1,1,Y,Y,Female
L30-D1-1044,1,1,Y,Y,Female
L30-D2-0422,0,0,N,N,Unknown
L30-D2-0308,0,0,N,N,Unknown
L30-D2-0304,0,0,N,N,Unknown
L30-D2-0402,0,0,N,N,Unknown
L30-D2-0246,0,0,N,N,Unknown
L30-D2-0378,0,0,N,N,Unknown
L30-D2-0270,0,0,N,N,Unknown
L30-D2-0438,0,0,N,N,Unknown
L30-D2-0734,1,1,Y,Y,Male
L30-D2-0199,0,0,N,N,Unknown
L30-D2-0271,0,0,N,N,Unknown
L30-D2-0262,0,0,N,N,Unknown
L30-D2-0586,0,0,N,N,Unknown
L30-D2-0504,0,0,N,N,Unknown
L30-D0-1905,1,0,Y,N,Unknown
L30-D0-1829,1,1,Y,Y,Male
L30-D0-1807,1,0,Y,N,Male
L30-D0-2190,1,0,Y,N,Female
L30-D0-2312,1,0,Y,N,Male
L30-D0-1790,1,0,Y,N,Male
L30-D0-2012,1,0,Y,N,Male
L30-D0-2450,1,0,Y,N,Unknown
L30-D0-2300,1,0,Y,N,Female
L30-D0-1913,1,0,Y,N,Male
L30-D0-2030,1,0,Y,N,Female
L30-D0-2292,1,0,Y,N,Male
L30-D0-1795,0,0,N,N,Unknown
L30-D0-2114,1,0,Y,N,Female
L30-D0-1984,1,0,Y,N,Male
L30-D0-1816,1,0,Y,N,Male
L30-D0-1835,1,0,Y,N,Male
L30-D0-2402,1,1,Y,Y,
L30-D0-1960,1,0,Y,N,Male
L30-D0-2073,1,0,Y,N,Female
L30-D0-1757,1,0,Y,N,Unknown
L30-D0-2408,1,0,Y,N,
L30-D0-2458,1,0,Y,N,Female
L30-D0-2319,1,0,Y,N,Female
L30-D0-1932,1,0,Y,N,Male
L30-D0-2322,1,0,Y,N,Female
L30-D0-2272,1,0,Y,N,Female
L30-D0-1892,1,0,Y,N,Male
L30-D0-1936,1,0,Y,N,Male
L30-D0-2137,1,0,Y,N,Female
L30-D0-2254,1,0,Y,N,Unknown
L30-D0-2247,1,0,Y,N,Female
L30-D0-2379,1,0,Y,N,Female
L30-D0-1754,0,0,N,N,Unknown
L30-D0-1666A,0,0,N,N,Unknown
L30-D0-2350,0,0,N,N,Unknown
L30-D0-1719,1,0,Y,N,Male
L30-D0-2202,1,0,Y,N,Female
L30-D0-1852,0,0,N,N,Unknown
L30-D0-2198,1,0,Y,N,Female
L30-D0-1792,1,0,Y,N,Male
L30-D0-2354,1,0,Y,N,Female
L30-D0-1861,0,0,N,N,Unknown
L30-D0-1629,1,0,Y,N,Male
L30-D0-1973,1,0,Y,N,Female
L30-D0-2243,1,0,Y,N,Female
L30-D0-2280,1,0,Y,N,Female
L30-D0-2082,1,0,Y,N,Male
L30-D0-2246,1,0,Y,N,Female
L30-D0-2304,1,0,Y,N,Female
L30-D0-2115,0,0,N,N,Unknown
L30-D0-1850,1,0,Y,N,Male
L30-D0-2311,1,0,Y,N,Female
L30-D0-1890,0,0,N,N,Unknown
L30-D0-1683,1,0,Y,N,Male
L30-D0-2242,1,0,Y,N,Female
L30-D0-2324,1,0,Y,N,Female
L30-D0-2130,1,0,Y,N,Female
L30-D0-1581,1,0,Y,N,Male
L30-D0-1753,1,0,Y,N,Male
