ID,Diet,Wing,lnWing,Pupa,lnPupa
CF01,Fed,1815068.5,14.41163377,2929109.762,14.8902091
CF02,Fed,1741256.75,14.37011768,2732826.35,14.82084692
CF03,Fed,1771767.375,14.38748812,2939175.665,14.89363971
CF05,Fed,1658928.25,14.32168232,2712612.846,14.81342288
CF06,Fed,1717575.25,14.35642412,2750531.039,14.82730456
CF07,Fed,1806038,14.40664605,2962350.731,14.90149368
CF08,Fed,1603560,14.28773672,2844255.933,14.86081206
CF09,Fed,1748055.5,14.37401459,2956339.102,14.89946227
CF10,Fed,1820793.25,14.41478282,2757948.557,14.82999768
CF11,Fed,1792558,14.39915421,3066056.426,14.93590274
CF12,Fed,1719778.25,14.35770592,2766285.181,14.83301589
CF13,Fed,1644226.75,14.31278077,2819300.527,14.85199937
CF14,Fed,1702774.625,14.34776961,2750976.975,14.82746667
CF15,Fed,1581378.25,14.27380733,2775506.869,14.83634394
CF16,Fed,1799244.375,14.40287734,2904099.89,14.88163405
CF17,Fed,1686021,14.33788187,2893315.723,14.87791371
CF18,Fed,1798939,14.4027076,2980167.754,14.90749015
CF19,Fed,1720803.375,14.35830182,2950541.932,14.89749942
CF20,Fed,1662487.125,14.32382531,2810102.667,14.84873158
CF21,Fed,1720300.125,14.35800932,2944751.569,14.89553501
CF22,Fed,1580354.75,14.27315991,2948479.051,14.89680002
CF23,Fed,1576034.25,14.27042228,2897128.307,14.87923057
CF24,Fed,1714746.25,14.35477567,2962565.188,14.90156607
CF25,Fed,1665754,14.32578843,2935883.907,14.89251913
CF26,Fed,1641057.25,14.31085126,2853964.407,14.86421961
CF28,Fed,1715234.625,14.35506044,3047653.899,14.92988264
CF29,Fed,1708856.875,14.35133521,3066110.892,14.93592051
CF30,Fed,1647002,14.31446722,2848031.073,14.86213846
CF31,Starved,798279.938,13.59021461,1260913.522,14.04734703
CF32,Starved,740973.563,13.51572023,1194108.196,13.99291019
CF33,Starved,777650.313,13.56403223,1318728.639,14.09217868
CF34,Starved,903483,13.71401257,1305813.51,14.08233678
CF35,Starved,754139.938,13.53333322,1166739.287,13.96972348
CF36,Starved,800529.938,13.59302921,1255844.828,14.04331907
CF37,Starved,837267.125,13.63789844,1358270.585,14.12172282
CF38,Starved,782818.25,13.57065583,1168240.492,13.97100932
CF39,Starved,904664.188,13.71531909,1407861.413,14.15758238
CM01,Fed,1458727,14.1930747,2583478.575,14.76464733
